timestamp;order_id;resource;event;event_type
01-06-2023 05:14:03.323;535;mes;direct_to_line2;NA
01-06-2023 05:16:12.326;476;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:16:54.557;469;cell1;cell1_operation;end
01-06-2023 05:16:54.557;469;mes;order_completed;NA
01-06-2023 05:16:54.557;470;mes;enter_cell1;NA
01-06-2023 05:16:54.557;470;cell1;cell1_operation;start
01-06-2023 05:16:54.557;477;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:17:13.950;497;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:17:13.950;503;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:18:20.977;479;cell2;cell2_operation;end
01-06-2023 05:18:20.977;479;mes;order_completed;NA
01-06-2023 05:18:20.977;486;mes;enter_cell2;NA
01-06-2023 05:18:20.977;486;cell2;cell2_operation;start
01-06-2023 05:19:34.010;536;mes;new_order;NA
01-06-2023 05:19:34.010;536;mes;direct_to_line2;NA
01-06-2023 05:20:41.156;477;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:22:28.227;470;cell1;cell1_operation;end
01-06-2023 05:22:28.227;470;mes;order_completed;NA
01-06-2023 05:22:28.227;471;mes;enter_cell1;NA
01-06-2023 05:22:28.227;471;cell1;cell1_operation;start
01-06-2023 05:22:28.227;480;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:23:34.416;537;mes;new_order;NA
01-06-2023 05:23:34.416;537;mes;direct_to_line2;NA
01-06-2023 05:23:43.160;503;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:23:43.160;504;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:26:02.926;480;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:26:10.551;486;cell2;cell2_operation;end
01-06-2023 05:26:10.551;486;mes;order_completed;NA
01-06-2023 05:26:10.551;487;mes;enter_cell2;NA
01-06-2023 05:26:10.551;487;cell2;cell2_operation;start
01-06-2023 05:28:05.697;538;mes;new_order;NA
01-06-2023 05:28:05.697;538;mes;direct_to_line1;NA
01-06-2023 05:29:59.865;471;cell1;cell1_operation;end
01-06-2023 05:29:59.865;471;mes;order_completed;NA
01-06-2023 05:29:59.865;473;mes;enter_cell1;NA
01-06-2023 05:29:59.865;473;cell1;cell1_operation;start
01-06-2023 05:29:59.865;481;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:30:02.382;504;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:30:02.382;505;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:30:18.692;539;mes;new_order;NA
01-06-2023 05:30:18.692;539;mes;direct_to_line1;NA
01-06-2023 05:31:25.150;481;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:33:59.472;540;mes;new_order;NA
01-06-2023 05:33:59.472;540;mes;direct_to_line1;NA
01-06-2023 05:34:16.548;487;cell2;cell2_operation;end
01-06-2023 05:34:16.548;487;mes;order_completed;NA
01-06-2023 05:34:22.357;541;mes;new_order;NA
01-06-2023 05:34:22.357;541;mes;direct_to_line1;NA
01-06-2023 05:37:59.177;473;cell1;cell1_operation;end
01-06-2023 05:37:59.177;473;mes;order_completed;NA
01-06-2023 05:37:59.177;475;mes;enter_cell1;NA
01-06-2023 05:37:59.177;475;cell1;cell1_operation;start
01-06-2023 05:37:59.177;482;agv1;agv1_transport_to_cell1_buffer;start
